FORECAST_WEEK,STATE_NAME,FORECAST_CASES,FORECAST_DEATHS,FORECAST_IND
4/2/2022,TEXAS,19270.45137,443.2145988,0
4/2/2022,UTAH,500.8403996,3.919669308,0
4/2/2022,VERMONT,926.1573756,2.002817366,0
4/2/2022,VIRGINIA,4634.015185,104.6593451,0
4/2/2022,WASHINGTON,4958.384171,76.88320318,0
4/2/2022,WEST VIRGINIA,637.8710407,96.8674478,0
4/2/2022,WISCONSIN,2942.47605,115.8355302,0
4/2/2022,WYOMING,111.0493117,8.036763302,0
4/9/2022,ALABAMA,1257.839253,62.87415181,0
4/9/2022,ARIZONA,6721.010071,406.2449575,0
4/9/2022,ARKANSAS,546.5636073,53.92758672,0
4/9/2022,CALIFORNIA,24547.83872,344.7238785,0
4/9/2022,COLORADO,7687.689085,6.968873858,0
4/9/2022,CONNECTICUT,3899.935809,22.04571715,0
4/9/2022,DELAWARE,656.8312214,13.81836107,0
4/9/2022,DISTRICT OF COLUMBIA,708.5276613,0,0
4/9/2022,FLORIDA,21099.6347,260.2991506,0
4/9/2022,GEORGIA,2756.721698,277.4940086,0
4/9/2022,HAWAII,1138.890714,3.008581255,0
4/9/2022,IDAHO,417.7071324,18.61454792,0
4/9/2022,ILLINOIS,10902.08048,71.34964433,0
4/9/2022,INDIANA,1223.765917,46.82362542,0
4/9/2022,IOWA,935.157163,8.89406912,0
4/9/2022,KANSAS,692.4125174,1.003197612,0
4/9/2022,KENTUCKY,3938.637639,133.2970888,0
4/9/2022,LOUISIANA,799.4037949,38.98510399,0
4/9/2022,MAINE,1461.66323,19.97204199,0
4/9/2022,MARYLAND,2994.485358,21.92561227,0
4/9/2022,MASSACHUSETTS,8662.401992,27.96474116,0
4/9/2022,MICHIGAN,3709.518774,68.95365329,0
4/9/2022,MINNESOTA,3110.759372,29.79699548,0
4/9/2022,MISSISSIPPI,940.4914833,19.05373298,0
4/9/2022,MISSOURI,1146.547081,10.97254458,0
4/9/2022,MONTANA,225.9390338,5.952202962,0
4/9/2022,NEBRASKA,312.4128252,8.01032899,0
4/9/2022,NEVADA,1187.709956,44.23474935,0
4/9/2022,NEW HAMPSHIRE,1751.670741,29.92407023,0
4/9/2022,NEW JERSEY,11065.17034,52.98525497,0
4/9/2022,NEW MEXICO,982.7621849,80.96157381,0
4/9/2022,NEW YORK,30442.21408,60.17924819,0
4/9/2022,NORTH CAROLINA,3469.671226,41.61024991,0
4/9/2022,NORTH DAKOTA,259.9845448,0,0
4/9/2022,OHIO,3821.228612,8.994444028,0
4/9/2022,OKLAHOMA,2044.166624,76.87666991,0
4/9/2022,OREGON,2147.152329,147.2386685,0
4/9/2022,PENNSYLVANIA,5913.290966,104.0953311,0
4/9/2022,RHODE ISLAND,1437.530511,0,0
4/9/2022,SOUTH CAROLINA,1544.27426,58.14467035,0
4/9/2022,SOUTH DAKOTA,136.1080767,9.923736609,0
4/9/2022,TENNESSEE,1812.28519,372.3351781,0
4/9/2022,TEXAS,36508.85652,247.9556976,0
4/9/2022,UTAH,567.133263,8.853913594,0
4/9/2022,VERMONT,1178.180503,4.002431148,0
4/9/2022,VIRGINIA,6054.811979,144.6938834,0
4/9/2022,WASHINGTON,10638.88677,55.17447595,0
4/9/2022,WEST VIRGINIA,552.7527134,82.57534196,0
4/9/2022,WISCONSIN,4422.161779,26.93639826,0
4/9/2022,WYOMING,114.192884,4.983335028,0
4/16/2022,ALABAMA,1132.942737,125.9431544,0
4/16/2022,ARIZONA,2729.409559,139.6897944,0
4/16/2022,ARKANSAS,510.8857805,33.90868583,0
4/16/2022,CALIFORNIA,24704.95176,313.9431137,0
4/16/2022,COLORADO,9219.911449,38.6314926,0
4/16/2022,CONNECTICUT,5154.148701,12.01836838,0
4/16/2022,DELAWARE,907.7053545,9.955143296,0
4/16/2022,DISTRICT OF COLUMBIA,2143.370289,0,0
4/16/2022,FLORIDA,0,0,0
4/16/2022,GEORGIA,3359.525065,176.2605953,0
4/16/2022,HAWAII,1300.340967,8.015817577,0
4/16/2022,IDAHO,395.8017516,17.64052559,0
4/16/2022,ILLINOIS,14112.19883,45.21937944,0
4/16/2022,INDIANA,860.0868824,22.91650415,0
4/16/2022,IOWA,915.5509675,21.03192293,0
4/16/2022,KANSAS,1009.128221,128.3274924,0
4/16/2022,KENTUCKY,3105.06158,172.1544473,0
4/16/2022,LOUISIANA,1021.393594,17.08048175,0
4/16/2022,MAINE,2354.809958,53.88146635,0
4/16/2022,MARYLAND,4118.592392,29.00015821,0
4/16/2022,MASSACHUSETTS,13098.4714,32.92428042,0
4/16/2022,MICHIGAN,7660.131207,81.03196571,0
4/16/2022,MINNESOTA,4377.202274,23.87985003,0
4/16/2022,MISSISSIPPI,861.4441274,12.03879979,0
4/16/2022,MISSOURI,792.4161953,14.97180466,0
4/16/2022,MONTANA,262.1532518,4.99668924,0
4/16/2022,NEBRASKA,0,0,0
4/16/2022,NEVADA,1120.813919,358.2682807,0
4/16/2022,NEW HAMPSHIRE,2376.457147,5.975337381,0
4/16/2022,NEW JERSEY,14449.84956,39.07069714,0
4/16/2022,NEW MEXICO,878.926082,49.97385371,0
4/16/2022,NEW YORK,40964.30146,65.17818562,0
